timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732599281001,4103,CreateTransaction,200,OK,Thread Group 1-1,text,true,,619,393,4,4,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,4091,0,627
1732599282066,3292,CreateTransaction,200,OK,Thread Group 1-2,text,true,,619,393,4,4,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,3291,0,131
1732599285107,614,CreateTask,200,OK,Thread Group 1-1,text,true,,616,323,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,614,0,0
1732599285359,615,CreateTask,200,OK,Thread Group 1-2,text,true,,616,323,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,615,0,0
1732599285723,457,SendAnnouncement,200,OK,Thread Group 1-1,text,true,,621,328,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,457,0,0
1732599283262,2975,CreateTransaction,200,OK,Thread Group 1-3,text,true,,619,393,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,2975,0,128
1732599285663,593,CreateTransaction,200,OK,Thread Group 1-5,text,true,,619,393,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,593,0,263
1732599286183,330,GetSummary,200,OK,Thread Group 1-1,text,true,,736,229,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=dan@gmail.com,330,0,0
1732599286258,394,CreateTask,200,OK,Thread Group 1-5,text,true,,616,323,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,394,0,0
1732599286239,570,CreateTask,200,OK,Thread Group 1-3,text,true,,616,323,5,5,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,570,0,0
1732599286514,444,CompletedTasks,200,OK,Thread Group 1-1,text,true,,905,231,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/room/get-completed-tasks?frm=dan@gmail.com,444,0,0
1732599286653,386,SendAnnouncement,200,OK,Thread Group 1-5,text,true,,621,328,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,386,0,0
1732599286810,426,SendAnnouncement,200,OK,Thread Group 1-3,text,true,,621,328,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,426,0,0
1732599286864,408,CreateTransaction,200,OK,Thread Group 1-6,text,true,,619,393,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,408,0,174
1732599286959,464,PendingTask,200,OK,Thread Group 1-1,text,true,,1541,235,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/room/get-pending-tasks?frm=hungludao@gmail.com,464,0,0
1732599287237,278,GetSummary,200,OK,Thread Group 1-3,text,true,,742,229,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=dan@gmail.com,277,0,0
1732599287274,259,CreateTask,200,OK,Thread Group 1-6,text,true,,616,323,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,259,0,0
1732599287534,282,SendAnnouncement,200,OK,Thread Group 1-6,text,true,,621,328,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,281,0,0
1732599287424,535,GetNotifications,200,OK,Thread Group 1-1,text,true,,1413,230,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/user/hungludao@gmail.com/get-notification,534,0,0
1732599284461,3574,CreateTransaction,200,OK,Thread Group 1-4,text,true,,619,393,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,3574,0,186
1732599287818,248,GetSummary,200,OK,Thread Group 1-6,text,true,,740,229,6,6,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=dan@gmail.com,248,0,0
1732599287516,553,CompletedTasks,200,OK,Thread Group 1-3,text,true,,905,231,7,7,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/room/get-completed-tasks?frm=dan@gmail.com,553,0,0
