timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.7326E+12,4035,CreateTransaction,200,OK,Thread Group 1-1,text,TRUE,,619,393,2,2,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,4027,0,652
1.7326E+12,610,CreateTask,200,OK,Thread Group 1-1,text,TRUE,,616,323,2,2,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,610,0,0
1.7326E+12,540,SendAnnouncement,200,OK,Thread Group 1-1,text,TRUE,,621,328,2,2,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,539,0,0
1.7326E+12,297,GetSummary,200,OK,Thread Group 1-1,text,TRUE,,738,229,2,2,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=dan@gmail.com,297,0,0
1.7326E+12,2895,CreateTransaction,200,OK,Thread Group 1-2,text,TRUE,,619,393,2,2,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,2895,0,188
1.7326E+12,596,CreateTask,200,OK,Thread Group 1-2,text,TRUE,,616,323,3,3,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,595,0,0
1.7326E+12,479,SendAnnouncement,200,OK,Thread Group 1-2,text,TRUE,,621,328,3,3,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,479,0,0
1.7326E+12,294,GetSummary,200,OK,Thread Group 1-2,text,TRUE,,742,229,3,3,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=dan@gmail.com,294,0,0
1.7326E+12,2090,CompletedTasks,200,OK,Thread Group 1-1,text,TRUE,,905,231,3,3,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/room/get-completed-tasks?frm=dan@gmail.com,2090,0,0
1.7326E+12,3135,CreateTransaction,200,OK,Thread Group 1-3,text,TRUE,,619,393,4,4,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,3135,0,249
1.7326E+12,2079,CompletedTasks,200,OK,Thread Group 1-2,text,TRUE,,905,231,4,4,https://7hm4udd9s2.execute-api.ca-central-1.amazonaws.com/dev/room/get-completed-tasks?frm=dan@gmail.com,2079,0,0
